idLibros,Nombre,Idioma,rol_idRol,categoria
1,Anima Beyond Fantasy - Dominus Exxet.pdf,Castellano,1,Suplemento
2,Anima Beyond Fantasy - Core Exxet.pdf,Castellano,1,B‡sico
3,Anima Beyond Fantasy - Arcana Exxet.pdf,Castellano,1,Suplemento
4,Ficha Extra Psiquico 2.pdf,Castellano,1,Utilidades
5,Ficha Extra Psiquico 1.pdf,Castellano,1,Utilidades
6,Ficha Extra Magia.pdf,Castellano,1,Utilidades
7,Ficha Extra Ki.pdf,Castellano,1,Utilidades
8,Ficha Extra Base.pdf,Castellano,1,Utilidades
9,Ficha Ampliada.pdf,Castellano,1,Utilidades
10,Ficha BlackZerg.pdf,Castellano,1,Utilidades
11,Ficha Extra Convocación.pdf,Castellano,1,Utilidades
12,La Leyenda de los Cinco Anillos.pdf,Castellano,8,B‡sico
13,Nuevas-tablas-de-herencia.pdf,Castellano,8,Utilidades
14,Hoja-de-personaje.pdf,Castellano,8,Utilidades
15,Mapa-rokugan.pdf,Castellano,8,Utilidades
16,Tablas-de-encuentros.pdf,Castellano,8,Utilidades
17,Tablas-de-herencia.pdf,Castellano,8,Utilidades
18,Vampiro Ð Gehena La Ultima Noche.pdf,Castellano,11,Novela
19,Mago - El Dia del Juicio.pdf,Castellano,9,Novela
20,Hombre Lobo - La Ultima Batalla.pdf,Castellano,7,Novela
21,4 - Setita.pdf,Castellano,11,Novela
22,14 - Antologia.pdf,Castellano,11,Novela
23,13 - Nosferatu.pdf,Castellano,11,Novela
24,9 - Malkavian.pdf,Castellano,11,Novela
25,6 - Lasombra.pdf,Castellano,11,Novela
26,7 - Assamita.pdf,Castellano,11,Novela
27,8 - Ravnos.pdf,Castellano,11,Novela
28,2 - Tzimisce.pdf,Castellano,11,Novela
29,3 - Gangrel.pdf,Castellano,11,Novela
30,12 - Tremere.pdf,Castellano,11,Novela
31,10 - Giovanni.pdf,Castellano,11,Novela
32,11 - Brujah.pdf,Castellano,11,Novela
33,5 - Ventrue.pdf,Castellano,11,Novela
34,1 - Toreador.pdf,Castellano,11,Novela
35,Triologia Lasombra - Libro 2 - Sombras.pdf,Castellano,11,Novela
36,Triologia Lasombra - Libro 1 - Señales.pdf,Castellano,11,Novela
37,Triologia Lasombra - Libro 3 - Sacrificios.pdf,Castellano,11,Novela
38,7 Roehuesos.pdf,Castellano,7,Novela
39,8 Contemplaestrellas.pdf,Castellano,7,Novela
40,9 Hijos de Gaia.pdf,Castellano,7,Novela
41,5 Garras Rojas.pdf,Castellano,7,Novela
42,4 Furias Negras.pdf,Castellano,7,Novela
43,3 Caminantes Silenciosos.pdf,Castellano,7,Novela
44,14 Wendigo.pdf,Castellano,7,Novela
45,6 Fianna.pdf,Castellano,7,Novela
46,2 Camada de Fenris.pdf,Castellano,7,Novela
47,12 Moradores del Cristal.pdf,Castellano,7,Novela
48,10 Uktena.pdf,Castellano,7,Novela
49,11 Colmillos Plateados.pdf,Castellano,7,Novela
50,13 Danzantes de la espiral Negra.pdf,Castellano,7,Novela
51,1 Señores de la sombra.pdf,Castellano,7,Novela
